SIZE,COMPRESSED,RATIO,TIME
2950,1362,0.46169491525424,0.014307022094727
2700,1270,0.47037037037037,0.015268087387085
2910,1370,0.47079037800687,0.014719009399414
2915,1374,0.47135506003431,0.014497995376587
2920,1360,0.46575342465753,0.01439905166626
2925,1367,0.46735042735043,0.014193058013916
2930,1344,0.45870307167235,0.014660120010376
2935,1314,0.44770017035775,0.014548778533936
2940,1391,0.47312925170068,0.014419078826904
2945,1356,0.46044142614601,0.014252185821533
1050,673,0.64095238095238,0.014688968658447
3000,1371,0.457,0.014388084411621
2955,1363,0.46125211505922,0.016037225723267
2960,1369,0.4625,0.014976978302002
2965,1367,0.4610455311973,0.014435052871704
2970,1209,0.40707070707071,0.014113903045654
700,494,0.70571428571429,0.014652967453003
365,311,0.85205479452055,0.014503002166748
2985,1368,0.45829145728643,0.016932010650635
745,507,0.68053691275168,0.014153003692627
2995,1371,0.45776293823038,0.013987064361572
3000,1376,0.45866666666667,0.013962984085083
3050,1376,0.45114754098361,0.014846086502075
3005,1357,0.45158069883527,0.016584873199463
3010,1371,0.45548172757475,0.017588138580322
3015,1382,0.45837479270315,0.014758825302124
3020,1371,0.45397350993377,0.014963865280151
3025,1362,0.4502479338843,0.014089107513428
3030,1378,0.45478547854785,0.014497041702271
3035,1375,0.45304777594728,0.014561891555786
1390,809,0.58201438848921,0.014650106430054
3045,1369,0.4495894909688,0.014539003372192
2250,1142,0.50755555555556,0.01775598526001
3100,1383,0.44612903225806,0.014788866043091
2740,1285,0.46897810218978,0.015211820602417
